10000 40000
0 5516 18
0 7303 -2
1 6289 16
1 8135 1
1 8493 -6
2 3473 -7
2 3867 14
2 4224 -15
2 6581 5
2 8241 -16
2 9318 10
3 3651 -18
3 9842 10
4 757 20
4 5616 0
4 6416 20
4 9174 -12
5 210 4
5 9702 12
6 4636 11
6 4802 -16
6 5182 -1
7 1567 4
7 2641 -4
7 2848 -15
7 4496 4
7 9638 -13
8 146 0
8 882 -13
8 1399 13
8 2481 -5
8 2874 18
8 5099 -8
9 926 -13
9 6657 4
9 7828 15
9 8605 -4
10 191 -11
10 8426 11
11 118 -3
11 2588 -8
11 8245 -13
11 9429 -6
12 7228 13
12 7718 -7
12 8581 -11
12 9959 -10
13 1062 16
13 5237 10
13 6406 7
14 1586 6
14 6896 -11
14 7068 14
15 1240 13
15 2211 5
15 4761 12
15 7766 19
15 9494 -13
15 9992 -1
16 1101 20
16 1399 7
16 2872 12
16 3721 -18
16 6725 -4
16 7155 4
16 8639 11
17 101 -15
17 6854 17
17 8019 -19
18 4493 -15
18 6084 6
19 382 6
19 826 20
19 885 18
19 3442 15
19 9050 9
19 9324 12
20 2380 -9
20 6548 -3
20 7235 4
20 8615 -15
21 500 -18
21 2766 -20
21 3053 -5
21 3326 9
21 5288 17
21 7229 19
21 7961 20
22 525 9
22 641 13
22 3239 5
22 4839 2
22 6005 -15
23 2029 4
23 3100 -15
23 4998 -9
23 8336 3
24 3338 7
25 2463 -8
25 2763 -11
26 21 1
26 8941 -15
27 555 -1
27 1535 19
27 5146 13
28 312 -17
28 6525 -13
28 6737 14
29 8224 -11
29 8998 -8
30 3162 -4
30 3457 18
30 4344 -3
30 5568 -11
31 114 13
31 507 13
31 925 -16
31 1492 2
31 6046 17
31 8317 -7
32 6215 18
32 6766 -2
32 7535 -15
32 8812 -9
32 9264 -10
33 986 17
33 2181 18
33 4243 -3
33 6071 -9
33 6860 5
34 2403 -2
34 3732 20
34 4362 2
34 7650 5
35 1069 18
35 2094 -5
35 7363 -6
36 2483 -15
36 3907 -5
36 5301 -1
36 9554 8
37 2042 -15
37 2337 7
37 6686 -13
37 7032 8
37 7694 -11
37 8991 -14
38 1048 15
38 2206 12
38 2941 -17
38 3286 -10
38 3364 0
38 3749 14
38 4454 3
38 4627 9
38 5919 -19
39 4088 19
39 4602 -7
39 5763 -13
40 991 6
40 6116 3
40 6646 15
40 8139 -1
41 127 -4
41 3198 18
41 7378 5
41 7431 11
41 7997 -8
42 450 16
42 1816 13
42 8841 -8
43 2053 15
43 2090 15
43 2398 18
43 6478 12
43 8127 -12
44 778 -4
44 1428 -15
44 1638 -12
44 5688 13
45 668 17
45 3564 -9
45 4310 -14
46 432 -19
46 2694 15
46 4168 20
46 7226 4
47 2897 19
47 6698 -17
48 379 -4
48 2226 -2
48 2632 -7
48 7727 14
48 7850 12
49 450 7
49 1190 -16
49 6135 8
50 3126 -2
50 4077 -13
50 8396 15
51 5908 13
52 1255 4
52 2397 -15
52 3156 18
52 7235 8
52 8121 3
52 8892 -13
53 2324 4
53 4283 10
53 5454 -6
53 5644 13
53 8040 1
54 128 -6
54 4466 -6
54 5581 11
54 7800 10
55 941 -8
55 951 -19
55 1925 -13
55 3275 7
55 4088 3
55 6574 13
55 9118 -12
55 9231 9
55 9621 9
56 1696 -7
56 3534 -10
56 7451 3
57 709 -14
57 1429 10
57 2209 -12
57 4001 18
57 5486 3
57 6033 -4
57 6034 4
58 2666 -3
58 7635 -17
58 9502 -11
59 1575 4
59 2048 19
59 2796 20
59 5976 -20
59 6254 0
59 8009 18
59 8476 -20
59 9072 11
60 1829 14
61 469 -20
61 1666 -5
61 4148 -17
61 8797 -11
62 4996 -2
62 5321 19
62 5822 9
63 1259 -19
63 1961 19
63 3952 -18
63 9810 -10
64 193 -7
64 2497 -11
64 5065 13
64 6053 -10
64 6563 -4
64 7958 -10
64 8604 -14
65 1499 8
65 3236 6
65 5081 -10
65 5517 15
65 8579 18
66 39 1
66 423 -9
66 1887 12
66 7227 -4
67 1151 -9
67 1584 16
68 778 -16
68 1417 -8
68 2904 -13
68 3187 16
69 7276 13
70 3511 20
71 1704 -17
71 3247 -16
71 6558 -13
71 7907 19
72 9186 3
73 594 -2
73 785 -3
73 1859 -3
73 4014 20
73 4477 4
73 7636 -12
73 7686 1
73 8256 2
74 1344 8
74 1508 19
74 1801 14
74 5631 6
74 6011 9
74 8111 12
75 1636 13
75 4478 -4
75 6035 -4
75 9568 12
76 6981 -14
76 7370 -4
77 4027 2
77 4650 -15
78 1824 11
78 2211 0
78 2958 13
79 2316 19
79 4476 0
79 5118 -11
79 6857 13
79 8409 -9
80 3056 6
80 3177 -12
80 5360 -13
80 7914 -7
81 745 2
81 1506 -10
81 2322 -9
81 4863 -11
81 6969 3
81 8620 -5
81 9479 20
82 1157 5
82 5233 3
82 7658 0
82 9149 10
82 9578 -2
82 9812 -3
83 4220 -14
83 4358 0
83 6937 8
84 77 9
84 1453 -7
84 3880 13
85 7270 11
86 2223 8
87 859 13
87 1810 -18
87 6987 -19
87 7337 9
88 2136 -12
88 9342 9
89 1554 -3
89 3037 9
89 3125 12
89 3580 20
89 4247 -5
89 4526 -14
89 5539 12
89 6000 18
89 7527 12
89 9061 -11
90 480 -2
90 1096 -10
90 1208 6
90 1625 -13
90 3606 4
90 9443 -1
91 2204 -15
91 5357 -6
91 7213 -2
91 7789 19
92 3900 -20
92 5049 19
92 7257 3
92 8988 17
93 2841 -19
93 4615 13
94 8007 -9
95 97 2
95 668 10
95 4910 -13
95 6211 -19
95 7809 -14
95 8452 -18
96 9108 3
97 920 -16
97 3397 6
97 3504 -11
97 5649 13
97 5675 8
97 6138 11
97 9517 -20
98 62 9
98 527 16
98 802 2
98 1124 -12
98 2198 -5
98 4085 17
98 4191 -8
98 8185 -4
99 6564 15
99 6991 -17
99 7796 18
100 328 -7
100 2109 2
100 4028 13
100 4663 4
100 6400 15
100 6784 10
101 4540 1
101 5904 -3
101 7278 9
101 9029 -4
102 2159 -16
102 2211 -8
102 8369 -1
102 8516 -13
103 31 5
103 7336 -14
103 8044 18
104 544 2
104 1445 -11
104 6009 12
104 8497 14
