1000 4000
703 250 -11
973 972 17
525 773 4
740 590 3
151 119 12
843 770 -16
864 720 4
290 70 19
863 275 -9
528 77 5
128 44 17
944 89 -8
630 289 14
55 685 -19
410 915 -2
174 702 -8
251 173 12
806 458 -3
46 38 -16
493 475 -6
21 954 2
796 800 -4
636 499 -13
727 711 3
679 956 12
536 643 -10
433 898 -10
145 514 -8
781 535 12
445 856 20
784 348 13
784 889 -11
337 810 7
390 797 20
456 411 -15
608 47 -16
838 266 2
139 804 19
625 79 -17
339 343 -9
820 650 3
831 2 -4
861 850 15
48 82 -14
672 438 -7
116 82 -4
211 759 16
749 460 -3
953 702 -5
666 691 -2
732 30 -8
742 218 -3
879 911 -8
100 782 12
0 575 -12
772 379 -5
235 999 -4
772 974 -13
441 48 19
73 665 -15
857 781 12
15 938 8
780 915 -12
328 350 -2
872 954 -8
587 148 -14
640 677 4
163 847 -4
838 224 -19
515 283 16
289 626 3
348 995 8
514 378 15
736 814 12
85 332 -6
943 830 -17
637 434 15
512 787 -12
37 61 17
66 806 -6
902 596 17
856 946 12
858 618 15
883 156 -10
61 509 1
920 179 17
626 99 -11
700 885 10
23 493 -3
897 707 13
527 157 10
1 104 5
577 518 -19
493 566 3
939 169 16
746 679 -5
601 914 18
321 127 10
38 86 -9
783 135 -5
260 455 -15
563 858 15
387 104 14
897 588 19
626 527 -14
755 302 10
143 36 -6
846 276 -18
316 250 -8
894 567 -10
156 703 10
275 879 -9
285 844 -17
127 413 8
883 729 -19
596 552 4
590 25 16
348 228 -3
360 37 -14
7 807 12
941 304 -8
772 844 -15
5 166 -9
805 728 -8
872 453 -16
834 311 14
975 852 -15
633 137 18
851 559 10
361 667 -8
749 606 -4
209 749 -16
631 958 -5
617 246 -15
362 731 5
991 249 -12
375 945 -20
772 527 4
893 710 8
975 884 16
463 911 6
60 137 -5
83 355 8
173 659 19
156 837 1
848 511 -9
982 760 16
897 423 19
273 439 -3
771 882 -4
849 46 -4
451 696 -1
539 965 8
407 397 -2
462 558 20
979 3 15
7 847 6
227 416 11
856 51 -15
536 702 -16
290 627 3
766 164 -13
378 972 -14
407 947 11
271 38 -11
29 494 -7
803 590 16
828 664 17
870 284 3
574 80 14
805 126 -9
680 69 -1
115 731 11
708 848 2
395 662 2
148 902 8
690 84 15
910 69 -4
121 266 -19
996 17 18
80 653 -13
382 857 19
807 976 -11
973 749 -17
613 316 16
664 421 4
270 897 -16
99 987 -5
828 537 -16
277 652 -7
386 895 13
3 60 -20
7 370 19
773 626 -12
586 763 -20
241 337 -14
799 982 -8
324 953 -8
615 782 6
24 400 -8
808 656 11
970 532 -10
419 480 14
279 650 14
302 300 -17
156 433 18
66 572 -1
294 214 2
501 131 -11
219 747 1
496 811 13
513 428 -7
62 929 13
229 530 10
327 377 15
181 456 6
158 60 -2
981 226 -19
329 856 14
730 323 -8
99 912 -17
651 45 -2
832 809 6
617 56 17
63 161 11
488 468 -18
450 695 -4
358 856 -3
194 720 -14
464 75 -3
555 958 2
898 85 -4
49 906 -17
963 366 -2
982 660 12
200 997 2
618 223 -2
